jurisdiccion,departamento,sector,ambito,estudiantes,sexo__masculino,sexo__femenino,sexo__x,tamano_hogar__vivo_solo,tamano_hogar__2,tamano_hogar__3,tamano_hogar__4,tamano_hogar__5,tamano_hogar__6,tamano_hogar__7,tamano_hogar__8,tamano_hogar__9,tamano_hogar__10_o_mas,libros_hogar__no_hay_libros_en_formato_papel,libros_hogar__de_1_a_5_libros,libros_hogar__de_6_a_20_libros,libros_hogar__de_21_a_50_libros,libros_hogar__de_51_a_100_libros,libros_hogar__mas_de_100_libros,asistio_jardin__si_desde_sala_de_3_o_antes,asistio_jardin__si_desde_sala_de_4,asistio_jardin__si_desde_sala_de_5,asistio_jardin__no_no_fui_al_jardin,inasistencias__ninguna_falta,inasistencias__menos_de_5_faltas,inasistencias__de_5_a_14_faltas,inasistencias__de_15_a_19_faltas,inasistencias__de_20_a_29_faltas,inasistencias__30_o_mas_faltas,horas_estudio__no_estudie_ni_hice_tarea_fuera_del_horario_escolar,horas_estudio__hasta_2_horas,horas_estudio__entre_2_y_4_horas,horas_estudio__entre_5_y_7_horas,horas_estudio__entre_8_y_10_horas,horas_estudio__mas_de_10_horas,edad__menos_de_15_anos,edad__15_anos,edad__16_anos,edad__17_anos,edad__18_anos,edad__19_anos,edad__20_anos,edad__21_anos,edad__22_anos,edad__mas_de_22_anos,sobreedad__menores_de_17_anos,sobreedad__edad_teorica_para_el_ano_17_anos_al_30_de_junio,sobreedad__1_ano_de_sobreedad_18_anos_al_30_de_junio,sobreedad__2_anos_de_sobreedad_19_anos_al_30_de_junio,sobreedad__3_anos_o_mas_de_sobreedad_20_anos_o_mas_30jun,repitencia__repitio_1_vez,repitencia__repitio_2_veces_o_mas,repitencia__nunca_repitio,migracion__configuracion_familiar_migrante,migracion__configuracion_familiar_no_migrante,clima_escolar__bajo,clima_escolar__medio,clima_escolar__alto,nse__q1,nse__q2,nse__q3,nse__q4,nse__q5,educ_madre__no_fue_a_la_escuela,educ_madre__primaria_incompleto,educ_madre__primaria_completo,educ_madre__secundaria_incompleto,educ_madre__secundaria_completo,educ_madre__terciariouniversitarioposgrado_incompleto,educ_madre__terciariouniversitarioposgrado_completo,educ_padre__no_fue_a_la_escuela,educ_padre__primaria_incompleto,educ_padre__primaria_completo,educ_padre__secundaria_incompleto,educ_padre__secundaria_completo,educ_padre__terciariouniversitarioposgrado_incompleto,educ_padre__terciariouniversitarioposgrado_completo,desemp_lengua__por_debajo_del_nivel_basico,desemp_lengua__basico,desemp_lengua__satisfactorio,desemp_lengua__avanzado,desemp_matematica__por_debajo_del_nivel_basico,desemp_matematica__basico,desemp_matematica__satisfactorio,desemp_matematica__avanzado,cob__sexo,cob__tamano_hogar,cob__libros_hogar,cob__asistio_jardin,cob__inasistencias,cob__horas_estudio,cob__edad,cob__sobreedad,cob__repitencia,cob__migracion,cob__clima_escolar,cob__nse,cob__educ_madre,cob__educ_padre,cob__desemp_lengua,cob__desemp_matematica,flag_discrepancia_bases,eph_no_asiste_12_18,eph_ipcf_mediano,eph_sin_dato_ingreso,eph_hacinamiento_critico,eph_agua_fuera_vivienda,eph_desocupacion,eph_adultos_sin_secundaria,eph_adolescentes_ocupados,eph_casos_personas,eph_casos_hogares,eph_casos_12_18,eph_aglomerados,educ_madre_arm__sin_primaria,educ_madre_arm__primaria,educ_madre_arm__secundaria,educ_madre_arm__superior,educ_padre_arm__sin_primaria,educ_padre_arm__primaria,educ_padre_arm__secundaria,educ_padre_arm__superior,eph_educ_adultos__sin_primaria,eph_educ_adultos__primaria,eph_educ_adultos__secundaria,eph_educ_adultos__superior
Buenos Aires,25 DE MAYO,Estatal,Rural,86.2103785,0.4096825047578233,0.5903174952421767,0.0,0.0,0.042304288224416,0.1522954315761413,0.2833092421697232,0.1480002665804326,0.0,0.0265912670827677,0.0,0.0,0.3474995043665189,0.0713129429074481,0.1431654913799038,0.15525242358146,0.1328915891489793,0.0694998990173787,0.4278776539648298,0.9214348942917586,0.0785651057082413,0.0,0.0,0.0,0.1033433323807991,0.5800436057707368,0.1208693939326574,0.1051563669912434,0.0905873009245632,0.328030913354591,0.1299345994635668,0.3794651591745418,0.0562042654759948,0.1063650625313053,0.0,0.0,0.0,0.0,0.8054650148647706,0.1945349851352294,0.0,0.0,0.0,0.0,0.0,0.0,0.8054650148647706,0.1945349851352294,0.0,0.0,0.1812393515938455,0.0132956335413838,0.8054650148647706,0.0513694949152786,0.9486305050847214,0.0,0.0,1.0,0.1461872226903632,0.2253566790685184,0.1558567719314676,0.2236083721636833,0.2489909541459674,0.0,0.1160346233719412,0.2132697329475244,0.0265912670827677,0.2658479187630524,0.1147611850468792,0.2634952727878349,0.0,0.0287998505431,0.3174528894662503,0.2035625781477553,0.3376034538405343,0.0837813774592599,0.0287998505431,0.2488614685759673,0.1226824331829142,0.4236472143548238,0.2048088838862945,0.3166730702700976,0.3978943097317698,0.2854326199981326,0.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.1329563354138388,1.0,1.0,0.9233126763270156,1.0,1.0,False,0.0623688599077346,445000.0,0.4483079788479542,0.0435576849787502,0.0368880208963197,0.0754453621797781,0.4052089584940889,0.0375735062111118,10181,3676,1156,5,0.1160346233719412,0.23986100003029212,0.3806091038099316,0.2634952727878349,0.0287998505431,0.5210154676140055,0.4213848312997942,0.0287998505431,0.05832907059996273,0.3468798878941262,0.42066932781110006,0.17412171369481097
Buenos Aires,25 DE MAYO,Estatal,Urbano,279.6139432,0.5193636827907658,0.4714319303659103,0.0092043868433239,0.0,0.0861393587863963,0.2652404336618885,0.3554315424579954,0.1970479461961213,0.0352235422611099,0.02117311986226,0.0331480693163275,0.0,0.0065959874579008,0.1267388338880233,0.2261651675029916,0.1729640347920961,0.2185683564295158,0.1292558367668698,0.1263077706205031,0.903887313012937,0.0401247669254284,0.0559879200616344,0.0,0.0053423893875058,0.108937157325512,0.3723058749873564,0.2745686286751341,0.187006636748354,0.0518393128761377,0.4392221355489064,0.2676057007597384,0.1894651741980288,0.0693158055526204,0.012257863055607,0.0221333208850989,0.0,0.0,0.0052422128282478,0.8767611131775634,0.1049566712022249,0.0065527654988558,0.0064872372931079,0.0,0.0,0.0,0.0052422128282478,0.8767611131775634,0.1049566712022249,0.0065527654988558,0.0064872372931079,0.106201695667085,0.0117949783271036,0.8820033260058113,0.0137847048515632,0.9862152951484368,0.0,0.9090909026838532,0.0909090973161468,0.2784777511767518,0.172409010968091,0.1882686310186837,0.2533494102235457,0.1074951966129277,0.0,0.0629229311623255,0.1046168265617449,0.2595083974338802,0.3238459229310708,0.0099110579690147,0.2391948639419638,0.0058846178617151,0.2026709842333602,0.1190517223079896,0.3026499068592357,0.2327281768569195,0.0090353399353611,0.1279792519454186,0.3038208993720882,0.2539764833873277,0.3063304476870594,0.1358721695535246,0.6333154338270959,0.2506017812641747,0.1103287077323493,0.0057540771763801,1.0,0.9934472345011442,1.0,1.0,0.992071153624788,0.994757787171752,1.0,1.0,1.0,0.993512762706892,0.6343077075134929,1.0,1.0,0.8908331775208841,1.0,1.0,False,0.0623688599077346,445000.0,0.4483079788479542,0.0435576849787502,0.0368880208963197,0.0754453621797781,0.4052089584940889,0.0375735062111118,10181,3676,1156,5,0.0629229311623255,0.3641252239956251,0.3337569809000855,0.2391948639419638,0.2085556020950753,0.4217016291672253,0.24176351679228059,0.1279792519454186,0.05832907059996273,0.3468798878941262,0.42066932781110006,0.17412171369481097
Buenos Aires,25 DE MAYO,Privado,Urbano,75.6172351,0.3782620531175703,0.6012059782386833,0.0205319686437464,0.0,0.0205319686437464,0.4508417354180674,0.2485552781074906,0.1320039285594032,0.0842995289575193,0.0637675603137729,0.0,0.0,0.0,0.0615959059312392,0.1253634662450121,0.3643705467882149,0.2368354314504683,0.0637675603137729,0.1480670892712923,0.8488290740165698,0.1302085586713331,0.0,0.020962367312097,0.0,0.1458954348887585,0.2573674000942148,0.2118346495850653,0.2390070805432028,0.1458954348887585,0.3896321217086813,0.3383145533189298,0.1813688833149258,0.0906844416574629,0.0,0.0,0.0,0.0,0.0704080279179633,0.7815248828107443,0.1275351206275459,0.0205319686437464,0.0,0.0,0.0,0.0,0.0704080279179633,0.7815248828107443,0.1275351206275459,0.0205319686437464,0.0,0.1480670892712923,0.0,0.8519329107287077,0.0842995289575193,0.9157004710424806,0.0,1.0,0.0,0.1114719652054561,0.2096629952025315,0.1048314976012657,0.2712589011337707,0.3027746408569757,0.0,0.0842995289575193,0.0410639372874928,0.2984313373817076,0.2800710178306956,0.1275351206275459,0.1685990579150387,0.0,0.2036878199015806,0.0223690948608328,0.3298658252712242,0.2755270367922494,0.0,0.1685502231741127,0.2280233094637442,0.1891310265587851,0.4985461350199512,0.0842995289575193,0.4875954398776285,0.3852085919109257,0.1271959682114458,0.0,1.0,1.0,1.0,0.9794680313562536,0.9999999999999998,0.9295919720820368,1.0,1.0,1.0,1.0,0.3490434669436889,1.0,1.0,0.9178721254250144,1.0,1.0,False,0.0623688599077346,445000.0,0.4483079788479542,0.0435576849787502,0.0368880208963197,0.0754453621797781,0.4052089584940889,0.0375735062111118,10181,3676,1156,5,0.0842995289575193,0.3394952746692004,0.4076061384582415,0.1685990579150387,0.2036878199015806,0.35223492013205704,0.2755270367922494,0.1685502231741127,0.05832907059996273,0.3468798878941262,0.42066932781110006,0.17412171369481097
Buenos Aires,9 DE JULIO,Estatal,Rural,104.2019583,0.4592379153012521,0.5407620846987479,0.0,0.0,0.0707738080964645,0.2296121895436585,0.2313645424070691,0.2779590534816273,0.1383459623522258,0.015000000244717,0.0247222215592468,0.0,0.0122222223149907,0.2428598474813884,0.1926515185271715,0.255808978399977,0.201917391412403,0.0128571422443219,0.0939051219347381,0.6813262085184972,0.2186524276067529,0.0497220587316599,0.0502993051430898,0.0620051747004812,0.1257647914645903,0.44387721056014,0.0999783462326188,0.1532807052703373,0.1150937717718321,0.3480473773529671,0.3139213188615997,0.1879609806094375,0.1002812941617164,0.0123769339803918,0.0374120950338872,0.0,0.0,0.0,0.8980555560249965,0.0844444436895002,0.0,0.0175000002855032,0.0,0.0,0.0,0.0,0.8980555560249965,0.0844444436895002,0.0,0.0175000002855032,0.0728535358053822,0.0175000002855032,0.9096464639091144,0.0130529362918946,0.9869470637081054,0.0,0.2727272806584697,0.7272727193415303,0.2073142141705795,0.2514935115187753,0.253908723325788,0.1707332250779782,0.1165503259068788,0.0,0.1297979780865596,0.184397545050744,0.2475919946314483,0.2532395372458177,0.0343912346607021,0.1505817103247281,0.0,0.2223607319093015,0.154956224708177,0.2619231099693341,0.2671126881512318,0.0,0.0936472452619554,0.2997411585114135,0.2716260803708907,0.3706367291947526,0.0579960319229432,0.6522862617644388,0.227624455494689,0.1200892827408721,0.0,1.0,1.0,1.0,0.9624206361964311,0.974642858511422,0.987500000755744,1.0,1.0,1.0,0.9849999997552829,0.4400000119767422,1.0,1.0,0.8870039690991105,1.0,1.0,False,0.0623688599077346,445000.0,0.4483079788479542,0.0435576849787502,0.0368880208963197,0.0754453621797781,0.4052089584940889,0.0375735062111118,10181,3676,1156,5,0.1297979780865596,0.4319895396821923,0.2876307719065198,0.1505817103247281,0.2223607319093015,0.4168793346775111,0.2671126881512318,0.0936472452619554,0.05832907059996273,0.3468798878941262,0.42066932781110006,0.17412171369481097
Buenos Aires,9 DE JULIO,Estatal,Urbano,409.1402177,0.4593249337756316,0.5263072498971298,0.0143678163272385,0.0026490070468473,0.1076782936189099,0.2635048829066651,0.3267640776839774,0.1904740425904875,0.0363532988823697,0.0301881537226095,0.0233236741230451,0.0076986754206968,0.0113658940043911,0.2009411034245534,0.2261439887775667,0.1627169757943842,0.2008382184032845,0.1033150251950897,0.1060446884051213,0.8113907580260754,0.1156532800892436,0.0628101790554691,0.0101457828292116,0.0144218322185776,0.0401373555989352,0.2751291206804118,0.256852091682067,0.2503479820795318,0.1631116177404765,0.4987773757278375,0.3162248162647376,0.1460074838050724,0.0181457371616628,0.0171735533394224,0.0036710337012668,0.0,0.0,0.0036945813063734,0.8296753115796175,0.109836917897304,0.0419929402115093,0.011943106271657,0.0,0.0,0.0028571427335387,0.0036945813063734,0.8296753115796175,0.109836917897304,0.0419929402115093,0.0148002490051957,0.1295081502812623,0.0162845193695559,0.8542073303491817,0.0392312293496913,0.9607687706503087,0.0532915279758948,0.5830721133083605,0.3636363587157446,0.2135988109193402,0.2220474005481764,0.2334911819156516,0.1875562361758991,0.1433063704409325,0.0024630541227773,0.0598890547542474,0.1081045191515036,0.2187976713783715,0.2847554199265412,0.0545836335169941,0.2714066471495647,0.0172019334276879,0.1420651157425569,0.1465534394826849,0.3319279115393653,0.1645999591640575,0.0536308030192388,0.1440208376244084,0.2799547293196838,0.2375806601131404,0.409495374328731,0.0729692362384447,0.5977273025072732,0.2776124173544931,0.1246602801382334,0.0,1.0,0.9917898191019124,1.0000000000000002,0.9653530379396872,0.9752052546752116,0.97591710403003,1.0,1.0,1.0,0.9771624924762315,0.7857142878965624,1.0,1.0,0.9057001670065836,1.0,1.0000000000000002,False,0.0623688599077346,445000.0,0.4483079788479542,0.0435576849787502,0.0368880208963197,0.0754453621797781,0.4052089584940889,0.0375735062111118,10181,3676,1156,5,0.0623521088770247,0.3269021905298751,0.33933905344353527,0.2714066471495647,0.1592670491702448,0.4784813510220502,0.21823076218329632,0.1440208376244084,0.05832907059996273,0.3468798878941262,0.42066932781110006,0.17412171369481097
Buenos Aires,9 DE JULIO,Privado,Urbano,133.9987946,0.3857961637216101,0.596211411740565,0.0179924245378249,0.0,0.0983340972655779,0.3007698157497513,0.3747295230513081,0.1794926270046502,0.0466739369287122,0.0,0.0,0.0,0.0,0.0155844163093688,0.0874700957944289,0.1704232136428487,0.2209736012058126,0.2324091466118308,0.2731395264357102,0.9399102617859896,0.0507946288239887,0.0092951093900214,0.0,0.0,0.0326582767903622,0.2919048140015088,0.3134176412839042,0.297185038417811,0.0648342295064136,0.4556514997323203,0.254352037475449,0.1829333152703275,0.0634366127910815,0.0251888828233959,0.0184376519074255,0.0,0.0,0.0,0.9768398267367696,0.0231601732632302,0.0,0.0,0.0,0.0,0.0,0.0,0.9768398267367696,0.0231601732632302,0.0,0.0,0.0231601732632302,0.0089962122689124,0.9678436144678574,0.0338810727908608,0.9661189272091392,0.0,0.6439393880935702,0.3560606119064298,0.0,0.0305194790162687,0.1157560084499446,0.2391717925199903,0.6145527200137963,0.0,0.0077922081546844,0.0075757569538614,0.0477408018415114,0.1671088226341403,0.1097751486788374,0.660007261736965,0.0,0.0095758524308541,0.0320939736358347,0.1673543746650038,0.1885208752796886,0.1482465352864639,0.4542083887021548,0.1466151181333089,0.1171764637649956,0.5297896709587268,0.2064187471429687,0.3066946035201768,0.2891342421529548,0.3962660162170202,0.0079051381098481,1.0,0.9924242430461389,1.0,0.9678436144678574,0.9846320348914542,0.9758522738233648,1.0,1.0,1.0,0.9846320348914542,1.0,1.0,1.0,0.9576854074178364,1.0,1.0,False,0.0623688599077346,445000.0,0.4483079788479542,0.0435576849787502,0.0368880208963197,0.0754453621797781,0.4052089584940889,0.0375735062111118,10181,3676,1156,5,0.0077922081546844,0.055316558795372804,0.2768839713129777,0.660007261736965,0.0095758524308541,0.19944834830083852,0.3367674105661525,0.4542083887021548,0.05832907059996273,0.3468798878941262,0.42066932781110006,0.17412171369481097
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,33.3446255,0.4913194481671417,0.5086805518328583,0.0,0.0,0.0381944460584809,0.2621527778142237,0.2725694460116218,0.2777777756118448,0.1111111084453474,0.0,0.0381944460584809,0.0,0.0,0.076388892116962,0.2135416725552968,0.2482638888836823,0.2204861020256472,0.168402782031545,0.0729166623868665,0.8871527766896048,0.0746527772519142,0.038194446058481,0.0,0.0,0.130208335973064,0.5451388830262917,0.1128472233103952,0.1128472233103952,0.0989583343798538,0.2100694428252013,0.3385416699311858,0.2847222200771155,0.0937500047796308,0.0,0.0729166623868665,0.0,0.0,0.0,0.8888888915546526,0.0364583311934332,0.0746527772519142,0.0,0.0,0.0,0.0,0.0,0.8888888915546526,0.0364583311934332,0.0746527772519142,0.0,0.1111111084453475,0.0,0.8888888915546526,0.038194446058481,0.9618055539415192,0.0,0.0,1.0,0.2517361186137778,0.2465277740186345,0.1128472233103952,0.2031249983599306,0.1857638856972617,0.0,0.0381944460584809,0.1128472233103952,0.1371527804383348,0.211805557690249,0.1093749935802997,0.39062499892224,0.0397111930805125,0.1534295981490594,0.0649819528804891,0.3375451302710862,0.2906137205503056,0.0,0.1137184050685468,0.3906249989222401,0.1753472264968158,0.3593749973290298,0.0746527772519142,0.4781249944709806,0.4531250014550051,0.0687500040740143,0.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7812499888475282,1.0,1.0000000000000002,0.9618055539415192,1.0,1.0,False,0.0623688599077346,445000.0,0.4483079788479542,0.0435576849787502,0.0368880208963197,0.0754453621797781,0.4052089584940889,0.0375735062111118,10181,3676,1156,5,0.0381944460584809,0.25000000374873,0.3211805512705487,0.39062499892224,0.1931407912295719,0.40252708315157526,0.2906137205503056,0.1137184050685468,0.05832907059996273,0.3468798878941262,0.42066932781110006,0.17412171369481097
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,142.09056529999998,0.4489831894559997,0.5510168105440003,0.0,0.0177867840462451,0.16057638064728,0.2603664636134711,0.2786340065324519,0.1936680098492084,0.058156030152693,0.0237201266170203,0.0070921985416297,0.0,0.0,0.158991067086704,0.284130295454599,0.2604313602516155,0.1448397798724219,0.0668481097245659,0.0847593876100934,0.8807877869638786,0.0991713119258534,0.0200409011102678,0.0,0.0166279280753906,0.0691658237776044,0.376891751306165,0.3039884471485032,0.1768573152407607,0.0564687344515758,0.5292084830722461,0.2454069989731196,0.1419747863974422,0.0665078108408203,0.0169019207163716,0.0,0.0,0.0,0.0,0.8699194090686048,0.1229883923897655,0.0,0.0,0.0070921985416297,0.0,0.0,0.0,0.8699194090686048,0.1229883923897655,0.0,0.0070921985416297,0.0921760672311154,0.0091185413842533,0.8987053913846311,0.024845872015121,0.975154127984879,0.1894736806480526,0.8105263193519474,0.0,0.2045043091963826,0.2134440533470099,0.2589678858853833,0.2195919520351151,0.1034917995361089,0.0,0.0561071699811162,0.1279535932706997,0.1043354473866675,0.4190396707500465,0.0127659566711569,0.2797981619403128,0.0100381848624561,0.2016938801220222,0.1508847762060923,0.2138519675684474,0.3164543060364833,0.0273881332422515,0.079688751962247,0.2880147841877858,0.3150988969990395,0.3311970650594631,0.0656892537537113,0.6230651572853078,0.2510231818855291,0.125911660829163,0.0,1.0,1.0000000000000002,1.0000000000000002,0.990881458615747,1.0000000000000002,0.983789260074117,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,0.6737588741227987,1.0000000000000002,1.0000000000000002,0.9083854809605716,1.0000000000000002,1.0,False,0.0623688599077346,445000.0,0.4483079788479542,0.0435576849787502,0.0368880208963197,0.0754453621797781,0.4052089584940889,0.0375735062111118,10181,3676,1156,5,0.0561071699811162,0.2322890406573672,0.4318056274212034,0.2797981619403128,0.2117320649844783,0.3647367437745397,0.34384243927873476,0.079688751962247,0.05832907059996273,0.3468798878941262,0.42066932781110006,0.17412171369481097
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,23.9664512,0.573122532217035,0.4268774677829648,0.0,0.0,0.0553359689731619,0.2964426873512253,0.2964426873512253,0.2529644272073121,0.0988142291170751,0.0,0.0,0.0,0.0,0.0553359689731619,0.4387351766122137,0.3399209474951385,0.1106719379463239,0.0553359689731619,0.0,0.944664031026838,0.0553359689731619,0.0,0.0,0.0,0.0869565202878263,0.3083003961804741,0.2648221360365609,0.1106719379463238,0.2292490095488146,0.5296442720731219,0.2411067183780634,0.0988142291170751,0.1304347804317395,0.0,0.0,0.0,0.0,0.0,0.944664031026838,0.0553359689731619,0.0,0.0,0.0,0.0,0.0,0.0,0.944664031026838,0.0553359689731619,0.0,0.0,0.0553359689731619,0.0,0.944664031026838,0.0,1.0,0.0,0.0,1.0,0.0869565202878263,0.4268774677829648,0.2766798448658097,0.209486167063399,0.0,0.0,0.0434782601439131,0.0434782601439131,0.2964426873512253,0.3952569164683004,0.0,0.2213438758926477,0.0,0.1688311690685652,0.155844154657174,0.2294372302285507,0.3246753237257392,0.0,0.1212121223199709,0.0434782601439131,0.209486167063399,0.6363636348463639,0.1106719379463239,0.3399209426862706,0.3320158173137846,0.3280632399999447,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6086956587047815,1.0,1.0,0.9130434797121736,1.0,1.0,False,0.0623688599077346,445000.0,0.4483079788479542,0.0435576849787502,0.0368880208963197,0.0754453621797781,0.4052089584940889,0.0375735062111118,10181,3676,1156,5,0.0434782601439131,0.3399209474951384,0.3952569164683004,0.2213438758926477,0.1688311690685652,0.3852813848857247,0.3246753237257392,0.1212121223199709,0.05832907059996273,0.3468798878941262,0.42066932781110006,0.17412171369481097
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,37.2861763,0.3822393823739979,0.617760617626002,0.0,0.0,0.0270270271719977,0.2395967456711296,0.4124839076084077,0.2084942053980472,0.1123981141504177,0.0,0.0,0.0,0.0,0.2057057081500738,0.1857571890523942,0.2428142410515824,0.2788502719169946,0.0405405420989762,0.0463320477299786,0.8378378423319315,0.1621621576680685,0.0,0.0,0.0,0.0600600603822173,0.3011583008580046,0.2099957082485822,0.212784216224392,0.2160017142868039,0.6402831442922722,0.1769626750383626,0.1557271534973673,0.0270270271719977,0.0,0.0,0.0,0.0,0.0,0.7314457342197355,0.106392108112196,0.1621621576680685,0.0,0.0,0.0,0.0,0.0,0.7314457342197355,0.106392108112196,0.1621621576680685,0.0,0.2024881993598254,0.0330330332102195,0.764478767429955,0.0793650809401982,0.9206349190598018,1.0,0.0,0.0,0.1123981141504177,0.3090948078792407,0.1827541806693651,0.2458172494346115,0.1499356478663648,0.0,0.1123981141504177,0.0330330332102195,0.1754611721878277,0.296868295395578,0.0405405420989762,0.3416988429569808,0.0387226556243146,0.1317576087963527,0.1986421894960036,0.2056826723367881,0.1790294235032916,0.0543122975477234,0.1918531526955258,0.5609180633520741,0.0463320477299786,0.3657228617459496,0.0270270271719977,0.856370655124641,0.1030888059285593,0.0405405389467998,0.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.2972972988919757,1.0,1.0,0.8530673497888277,0.9999999999999998,0.9999999999999998,False,0.0623688599077346,445000.0,0.4483079788479542,0.0435576849787502,0.0368880208963197,0.0754453621797781,0.4052089584940889,0.0375735062111118,10181,3676,1156,5,0.1123981141504177,0.2084942053980472,0.3374088374945542,0.3416988429569808,0.1704802644206673,0.4043248618327917,0.233341721051015,0.1918531526955258,0.05832907059996273,0.3468798878941262,0.42066932781110006,0.17412171369481097
